subject,starttime,endtime,notes,location,weblink
"Baby Laptime",10:15,10:45,"Enjoy delightful stories, songs, books, rhymes, finger plays and more, especially for babies. Cuddle with your baby and connect with other caregivers. Ages up to 12 months. The stories and activities will be developmentally appropriate for that age group. Supervised siblings of all ages are welcome.<br />","Woodcroft Branch",http://www.epl.ca/programs-and-events/programs-detail?dad=calendar&amp;eveid=122
"Baby Laptime",10:15,10:45,"Enjoy delightful stories, songs, books, rhymes, finger plays and more, especially for babies. Cuddle with your baby and connect with other caregivers. Ages up to 12 months. <b> No program October 29, November 11, December 24 &amp; December 31.</b>","Riverbend Branch",http://www.epl.ca/programs-and-events/programs-detail?dad=calendar&amp;eveid=122
"Sing, Sign, Laugh and Learn",10:15,11:00,"Join us for singing, rhyming and signing. Parents will learn strategies to engage their children, and enhance their communication and development through repetition, visuals and movement. Offered in collaboration with the Edmonton Early Intervention Program. Note that this is not a signing course. Ages up to 3 (including children with developmental delays), accompanied by a grown-up. Siblings are welcome.<br /> Please note there will be no program on February 16, April 3, April 6 and May 18.","Whitemud Crossing Branch",http://www.epl.ca/programs-and-events/programs-detail?dad=calendar&amp;eveid=2929
"Baby Laptime",10:30,11:00,"Enjoy delightful stories, songs, books, rhymes, finger plays and more, especially for babies. Cuddle with your baby and connect with other caregivers. Ages up to 12 months. No Baby Laptime program on Oct 29    Dec 17 &amp; Dec 24","Jasper Place Branch",http://www.epl.ca/programs-and-events/programs-detail?dad=calendar&amp;eveid=122
"Baby Laptime",10:30,11:00,"Enjoy delightful stories, songs, books, rhymes, finger plays and more, especially for babies. Cuddle with your baby and connect with other caregivers. Ages up to 12 months. .<br />.<br />Please note there will be no Baby Laptime program on<br /><br />Friday, April 3 (Easter)<br />.<br />Occasionally the Baby Laptime program will run on the floor in the Kids Area.","Strathcona Branch",http://www.epl.ca/programs-and-events/programs-detail?dad=calendar&amp;eveid=122
"Family Storytime",10:30,11:00,"Share stories, songs and games for the whole family. ","Calder Branch",http://www.epl.ca/programs-and-events/programs-detail?dad=calendar&amp;eveid=1426
"Sing, Sign, Laugh and Learn",10:30,11:15,"Join us for singing, rhyming and signing. Parents will learn strategies to engage their children, and enhance their communication and development through repetition, visuals and movement. Offered in collaboration with the Edmonton Early Intervention Program. Note that this is not a signing course. Ages up to 3 (including children with developmental delays), accompanied by a grown-up. Siblings are welcome.<br /> ","Stanley A. Milner Library (Downtown)",http://www.epl.ca/programs-and-events/programs-detail?dad=calendar&amp;eveid=2929
"Sing, Sign, Laugh and Learn",10:30,11:15,"Join us for singing, rhyming and signing. Parents will learn strategies to engage their children, and enhance their communication and development through repetition, visuals and movement. Offered in collaboration with the Edmonton Early Intervention Program. Note that this is not a signing course. Ages up to 3 (including children with developmental delays), accompanied by a grown-up. Siblings are welcome.<br /> Large groups are encouraged to call ahead to discuss space availability.<p><br /><br />","Lois Hole Library",http://www.epl.ca/programs-and-events/programs-detail?dad=calendar&amp;eveid=2929
"Sing, Sign, Laugh and Learn",10:30,11:15,"Join us for singing, rhyming and signing. Parents will learn strategies to engage their children, and enhance their communication and development through repetition, visuals and movement. Offered in collaboration with the Edmonton Early Intervention Program. Note that this is not a signing course. Ages up to 3 (including children with developmental delays), accompanied by a grown-up. Siblings are welcome.<br /> <br />","Castle Downs Branch",http://www.epl.ca/programs-and-events/programs-detail?dad=calendar&amp;eveid=2929
"Sing, Sign, Laugh and Learn",10:30,11:15,"Join us for singing, rhyming and signing. Parents will learn strategies to engage their children, and enhance their communication and development through repetition, visuals and movement. Offered in collaboration with the Edmonton Early Intervention Program. Note that this is not a signing course. Ages up to 3 (including children with developmental delays), accompanied by a grown-up. Siblings are welcome.<br /> No class Wednesday October 29","Capilano Branch",http://www.epl.ca/programs-and-events/programs-detail?dad=calendar&amp;eveid=2929
"Sing, Sign, Laugh and Learn",10:30,11:15,"Join us for singing, rhyming and signing. Parents will learn strategies to engage their children, and enhance their communication and development through repetition, visuals and movement. Offered in collaboration with the Edmonton Early Intervention Program. Note that this is not a signing course. Ages up to 3 (including children with developmental delays), accompanied by a grown-up. Siblings are welcome.<br /> <br />","Highlands Branch",http://www.epl.ca/programs-and-events/programs-detail?dad=calendar&amp;eveid=2929
"English Conversation Circle (LACE Program)",13:00,14:45,"Drop in and join others who also want to practise their English. English Conversation Circle is part of Catholic Social Services' Learning and Community Enrichment (LACE) program. Call Catholic Social Services at 780-424-3545 for more information. <b>LACE will not meet on statutory holidays. <br /></b>","Whitemud Crossing Branch",http://www.epl.ca/programs-and-events/programs-detail?dad=calendar&amp;eveid=582
"Storytime for Grown-ups",13:00,13:45,"Join library staff for a selection of short stories geared towards adults. Sit back, relax, and escape from the everyday as we bring you engaging stories, expertly read. Bring ears, an imagination, and a bit of your time. <P><B>This is an inclusive program suitable for people with disabilities.</B>","Calder Branch",http://www.epl.ca/programs-and-events/programs-detail?dad=calendar&amp;eveid=15452
"Baby Laptime",13:30,14:00,"Enjoy delightful stories, songs, books, rhymes, finger plays and more, especially for babies. Cuddle with your baby and connect with other caregivers. Ages up to 12 months. ","Capilano Branch",http://www.epl.ca/programs-and-events/programs-detail?dad=calendar&amp;eveid=122
